Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
BAJFINANCE,INE296A01032,0,0,0,0,0,946.1,1,,6384.85,-5438.75,-85.1821,2022
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2022
BIOCON,INE376G01013,3,1069.7,1140.75,71.05,6.642,0,0,,0,0,0,2022
BRITANNIA,INE216A01030,0,0,0,0,0,5906.5,6,,16214,19225,118.5704,2022
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2022
DEVYANI,INE872J01023,0,0,0,0,0,134.79,96,,16250.65,-3310.81,-20.3734,2022
GRWRHITECH,INE291A01017,0,0,0,0,0,2915.7,10,,6346,22811,359.4548,2022
HDFCLIFE,INE795G01014,0,0,0,0,0,743.2,39,,20450.15,8534.65,41.7339,2022
HINDUNILVR,INE030A01027,0,0,0,0,0,2353.5,13,,25783.1597,4812.3403,18.6647,2022
HONAUT,INE671A01010,1,32440,41335.05,8895.05,27.42,0,0,,0,0,0,2022
IDFCFIRSTB,INE092T01019,869,32877.75,31772,-1105.75,-3.3632,0,0,,0,0,0,2022
INFY,INE009A01021,0,0,0,0,0,1599.8,10,,13973.4,2024.6,14.489,2022
IRCTC,INE335Y01020,11,8694.45,7925.5,-768.95,-8.8441,0,0,,0,0,0,2022
ITC,INE154A01025,20,4440.85,6556,2115.15,47.6294,334.75,71,,12476.85,11290.4,90.4908,2022
LTTS,INE010V01017,4,13255.85,13697.8,441.95,3.334,0,0,,0,0,0,2022
MANAPPURAM,INE522D01027,28,3550.45,3203.2,-347.25,-9.7805,0,0,,0,0,0,2022
MARUTI,INE585B01010,3,17842.35,25800,7957.65,44.5998,0,0,,0,0,0,2022
MCX,INE745G01043,0,0,0,0,0,2418.05,21,,26097.75,24681.3,94.5725,2022
METROPOLIS,INE112L01020,10,17597.9,15759.4,-1838.5,-10.4473,0,0,,0,0,0,2022
NAUKRI,INE663F01032,3,12704.5,11705.05,-999.45,-7.8669,1306.35,3,,11728,-7808.95,-66.5838,2022
NESTLEIND,INE239A01024,1,10162,19913.9,9751.9,95.9644,0,0,,0,0,0,2022
NYKAA,INE388Y01029,3,4271.25,4076.25,-195,-4.5654,0,0,,0,0,0,2022
PAUSHAKLTD,INE111F01024,0,0,0,0,0,559.55,3,,27199.85,-25521.2,-93.8285,2022
RAIN,INE855B01025,0,0,0,0,0,144.78,243,,26083.85,9097.69,34.8786,2022
RELIANCE,INE002A01018,0,0,0,0,0,1458.8,26,,41775.75,-3846.95,-9.2086,2022
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2022
SBICARD,INE018E01016,0,0,0,0,0,846.6,35,,27121.15,2509.85,9.2542,2022
SGBAPR28I-GB,IN0020200062,0,0,0,0,0,16495.41,2,,9700,23290.82,240.1115,2022
SGBAUG30-GB,IN0020220078,0,0,0,0,0,17465.63,4,,20268,49594.52,244.6937,2022
TARSONS,INE144Z01023,0,0,0,0,0,217.26,22,,16172.5,-11392.78,-70.4454,2022
TATASTEEL,INE081A01020,20,2087,1956,-131,-6.277,189.25,75,,7686.5,6507.25,84.6582,2022
TCS,INE467B01029,0,0,0,0,0,3192.5,9,,23388.85,5343.65,22.847,2022
TITAN,INE280A01028,3,5949.2,8216.1,2266.9,38.1043,0,0,,0,0,0,2022
TRENT,INE849A01020,1,1010.3,1029.25,18.95,1.8757,0,0,,0,0,0,2022
VAIBHAVGBL,INE884A01027,0,0,0,0,0,221.45,66,,22518.55,-7902.85,-35.0948,2022
VIPIND,INE054A01027,46,13057.85,30875.1,17817.25,136.4486,0,0,,0,0,0,2022
ANGELONE,INE732I01013,55,89282.15,146730.45,57448.3,64.3447,2525.4,64,,156813.25,4812.35,3.0688,2024
AWFIS,INE108V01019,1,715,708.05,-6.95,-0.972,0,0,,0,0,0,2024
BAJFINANCE,INE296A01032,32,211760.3,233552.55,21792.25,10.291,0,0,,0,0,0,2024
BECTORFOOD,INE495P01020,14,19349.75,18671.75,-678,-3.5039,231.75,42,,74687.4,-64953.9,-86.9677,2024
BIKAJI,INE00E101023,0,0,0,0,0,699.25,73,,57835.35,-6790.1,-11.7404,2024
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2024
BLS,INE153T01027,12,4111.9,4119,7.1,0.1727,306.8,100,,38478.85,-7798.85,-20.2679,2024
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2024
