Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.,Year
HOMEFIRST,INE481N01025,0,0,0,0,0,1082.6,278,,269817.7,31145.1,11.543,2025
ICEMAKE,INE520Y01019,20,15456,15054.15,-401.85,-2.6,0,0,,0,0,0,2025
IGIL,INE0Q9301021,3,1200.45,1195.35,-5.1,-0.4248,0,0,,0,0,0,2025
INDIGO,INE646L01027,2,8503.1,8543.75,40.65,0.4781,0,0,,0,0,0,2025
INE02ID01020,,0,0,0,0,0,0,44,,0,0,0,2025
INE0SQY20018,,0,0,0,0,0,0,100,,0,0,0,2025
J&KBANK,INE168A01041,116,11700.44,12510.6,810.16,6.9242,0,0,,0,0,0,2025
KIRLOSENG,INE146L01010,0,0,0,0,0,1167.1,204,,144712.35,93376.05,64.5253,2025
KPITTECH,INE04I401011,263,325375.7,322695.85,-2679.85,-0.8236,0,0,,0,0,0,2025
LEHAR-X,INE976H01018,1,272.95,264.15,-8.8,-3.224,0,0,,0,0,0,2025
LUXIND,INE150G01020,3,3982.3,3894,-88.3,-2.2173,0,0,,0,0,0,2025
MANORAMA,INE00VM01036,22,22917.15,24140.3,1223.15,5.3373,1306.5,36,,50142.5,-3108.5,-6.1993,2025
MASFIN,INE348L01012,702,206068.4,219078.7,13010.3,6.3136,0,0,,0,0,0,2025
METROBRAND,INE317I01021,1,1299.45,1144.3,-155.15,-11.9397,1101.6,156,,200454.5,-28604.9,-14.27,2025
MUTHOOTMF,INE046W01019,0,0,0,0,0,188.74,1110,,216917.07,-7415.67,-3.4187,2025
NUVAMA,INE531F01023,9,55504.95,55035,-469.95,-0.8467,0,0,,0,0,0,2025
PCJEWELLER,INE785M01021,250,4152.63,3267.5,-885.13,-21.3149,0,0,,0,0,0,2025
PERSISTENT,INE262H01021,57,188035.4,294363.6,106328.2,56.5469,0,0,,0,0,0,2025
PIIND,INE603J01030,4,13348.6,13824,475.4,3.5614,0,0,,0,0,0,2025
PNGJL,INE953R01016,0,0,0,0,0,589.35,170,,108724.35,-8534.85,-7.85,2025
RAYMONDLSL,INE02ID01020,0,0,0,0,0,945.1,133,,165444.4464,-39746.1464,-24.0239,2025
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2025
SAFARI,INE429E01023,2,4502.2,4836.4,334.2,7.423,2079.5,89,,205744.05,-20668.55,-10.0458,2025
SGBAPR28I-GB,IN0020200062,1,15075,14701,-374,-2.4809,16495.41,22,,204640.64,158258.38,77.3348,2025
SGBAUG30-GB,IN0020220078,0,0,0,0,0,17465.63,21,,160469.29,206308.94,128.566,2025
SGBDE31III-GB,IN0020230168,0,0,0,0,0,17340.26,1,,12939.9,4400.36,34.0061,2025
SILVERBEES-E,INF204KC1402,0,0,0,0,0,262.84,700,,96703,87285,90.2609,2025
SONACOMS,INE073K01018,224,128334.15,108823.05,-19511.1,-15.2034,0,0,,0,0,0,2025
SULA,INE142Q01026,100,57189.5,24707.5,-32482,-56.7971,194.5,382,,179300.95,-105001.95,-58.5618,2025
THERMAX,INE152A01029,16,60834.1,52416.9,-8417.2,-13.8363,0,0,,0,0,0,2025
THOMASCOTT,INE480M01011,0,0,0,0,0,348.7,49,,17101.2,-14.9,-0.0871,2025
TIMEX,INE064A01026,0,0,0,0,0,315.5,611,,189792.4,2978.1,1.5691,2025
TIPSMUSIC,INE716B01029,0,0,0,0,0,519.25,400,,170199.5,37500.5,22.0333,2025
UJJIVANSFB,INE551W01018,0,0,0,0,0,59,2125,,97281.29,28093.71,28.8788,2025
V2RETAIL,INE945H01013,10,17651,16734,-917,-5.1952,0,0,,0,0,0,2025
VINCOFE,INE498Q01014,0,0,0,0,0,157.95,223,,35418.47,-195.62,-0.5523,2025
WENDT,INE274C01019,1,9380,9030,-350,-3.7313,0,0,,0,0,0,2025
YATHARTH,INE0JO301016,0,0,0,0,0,634.15,16,,10941.2,-794.8,-7.2643,2025
ASIANENE,INE276G01015,0,0,0,0,0,535.1,1,,528.55,6.55,1.2392,2026
ATHERENERG,INE0LEZ01016,0,0,0,0,0,1656,192,,184390.15,133561.85,72.4344,2026
BECTORFOOD,INE495P01020,20,4340,4230,-110,-2.5346,242.55,560,,158475.44,-22647.44,-14.2908,2026
BILNCD2021-N3,INE216A08027,0,0,0,0,0,30.22,6,,0,181.32,0,2026
BRITANNIA-N2,INE216A07052,0,0,0,0,0,32.2,5,,0,161,0,2026
BSE,INE118H01025,0,0,0,0,0,3384,49,,153987.2,11828.8,7.6817,2026
C2C-SM,INE0U7V01015,0,0,0,0,0,212.15,150,,102300,-70477.5,-68.893,2026
EFCIL,INE886D01026,0,0,0,0,0,185.18,520,,141349.13,-45055.53,-31.8754,2026
EFCIL-RE-R,INE886D20018,0,0,0,0,0,17.06,39,,0,665.34,0,2026
EIDPARRY,INE126A01031,0,0,0,0,0,721.05,417,,312277.55,-11599.7,-3.7145,2026
ETERNAL,INE758T01015,0,0,0,0,0,323.5,370,,102326.57,17368.43,16.9735,2026
FEDFINA,INE007N01010,0,0,0,0,0,158.53,1850,,219932.95,73347.55,33.35,2026
GEMAROMA,INE06XZ01023,0,0,0,0,0,160.87,2,,335.8,-14.06,-4.187,2026
GSMFOILS-SM,INE0SQY01018,1000,226400,203250,-23150,-10.2253,0,0,,0,0,0,2026
GVT&D,INE200A01026,26,124826.5,106284.15,-18542.35,-14.8545,0,0,,0,0,0,2026
HOMEFIRST,INE481N01025,0,0,0,0,0,1184.65,311,,304071.3,64354.85,21.1644,2026
INDIGO,INE646L01027,1,4380,4523.9,143.9,3.2854,0,0,,0,0,0,2026
INE0SQY20018,,0,0,0,0,0,0,100,,0,0,0,2026
INE886D20018,,0,0,0,0,0,0,39,,0,0,0,2026
JAINREC,INE0YD401026,65,21863.2,22028.5,165.3,0.7561,284.7,1,,324.65,-39.95,-12.3056,2026
KARNIKA-SM,INE0MGA01012,0,0,0,0,0,119.25,1000,,123950,-4700,-3.7919,2026
KIRLOSENG,INE146L01010,0,0,0,0,0,2168.6,219,,170350.2,304573.2,178.7924,2026
MANORAMA,INE00VM01036,0,0,0,0,0,2063.45,75,,102290.6,52468.15,51.2932,2026
MCX,INE745G01043,0,0,0,0,0,3276,47,,133405.75,20566.25,15.4163,2026
METROBRAND,INE317I01021,131,166133.65,135365.8,-30767.85,-18.5199,0,0,,0,0,0,2026
MILKYMIST,INE00IT01020,5,1237.35,1239.25,1.9,0.1536,0,0,,0,0,0,2026
MUTHOOTMF,INE046W01019,0,0,0,0,0,196.48,1360,,265890.85,1321.95,0.4972,2026
RAYMONDLSL,INE02ID01020,0,0,0,0,0,693.7,144,,172556.0964,-72663.2964,-42.11,2026
RNITAI-XT,INE335Q01026,0,0,0,0,0,99.93,1001,,73313.15,26716.78,36.442,2026
RUCHISOYA,INE619A01027,0,0,0,0,0,3.35,400,,2205,-865,-39.229,2026
SAFARI,INE429E01023,90,207206.55,145792,-61414.55,-29.6393,0,0,,0,0,0,2026
SGBAPR28I-GB,IN0020200062,0,0,0,0,0,15185,28,,298881.41,126298.59,42.2571,2026
SGBAUG30-GB,IN0020220078,0,0,0,0,0,15200,24,,204625,160175,78.2773,2026
SGMART,INE385F01024,0,0,0,0,0,751.25,107,,76465.35,3918.4,5.1244,2026
SHADOWFAX,INE12UN01015,50,12506.55,12450,-56.55,-0.4522,253.4,209,,51384.21,1576.39,3.0678,2026
SILVERBEES-E,INF204KC1402,1247,218477.36,265782.52,47305.16,21.6522,0,0,,0,0,0,2026
THOMASCOTT,INE480M01011,204,61485.7,63202.65,1716.95,2.7924,0,0,,0,0,0,2026
TIMEX,INE064A01026,0,0,0,0,0,631.7,700,,223585.65,218604.35,97.7721,2026
TIPSMUSIC,INE716B01029,375,176699.2,248539.6,71840.4,40.6569,0,0,,0,0,0,2026
TITAN,INE280A01028,3,12693,12119.7,-573.3,-4.5167,0,0,,0,0,0,2026
UJJIVANSFB,INE551W01018,0,0,0,0,0,65.54,3000,,150403.55,46216.45,30.7283,2026
V2RETAIL,INE945H01021,478,95244.5,105827.29,10582.79,11.1112,0,0,,0,0,0,2026
YATHARTH,INE0JO301016,0,0,0,0,0,966.4,205,,144130.75,53981.25,37.453,2026
ZAGGLE,INE07K301024,9,1833.36,1444.32,-389.04,-21.2201,0,0,,0,0,0,2026
